,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
5,2019,6,Away,NE,L,14-35,3,7,30,10,18,0,0,0,0,0,0,0,0
6,2019,7,Home,ARI,L,27-21,2,2,33,16.5,28,1,0,0,0,0,0,0,0
7,2019,8,Away,DET,L,26-31,1,2,-1,-1,-1,0,0,0,0,0,0,0,0
8,2019,9,Home,DAL,L,37-18,2,5,17,8.5,9,0,0,0,0,0,0,0,0
9,2019,10,Away,NYJ,L,27-34,3,3,42,14,31,0,0,0,0,0,0,0,0
10,2019,12,Away,CHI,L,14-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,NYG,L,31-13,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,PHI,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NYG,W,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,WAS,W,41-35,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,NYG,L,34-17,-,-,-,-,-,-,-,-,-,-,-,-,-
