,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
3,2014,4,Away,KC,W,14-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,SF,L,17-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,7,Away,SD,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,8,Home,STL,W,7-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,9,Away,KC,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Away,BUF,W,17-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,KC,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,OAK,L,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,KC,L,29-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,ARI,L,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Home,OAK,W,13-31,39.6,0,1,0,0,0,0,0,0,1,-1,-1,-1,0,0,0
14,2014,16,Away,PIT,L,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Home,SD,W,7-19,75.7,16,27,59.3,157,5.8,0,0,4,3,16,5.3,9,0,0,0
0,2015,1,Away,HOU,W,27-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,KC,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,GB,L,28-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,CIN,L,21-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,KC,L,18-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,MIN,L,10-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,KC,W,13-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,8,Home,DET,W,10-45,79.2,2,2,100,4,2,0,0,0,0,0,0,0,0,0,0
8,2015,10,Away,DEN,W,29-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,SD,W,33-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,KC,W,22-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,OAK,W,34-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,KC,W,3-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,BAL,W,34-14,0,0,0,0,0,0,0,0,0,2,-2,-1,-1,0,0,0
14,2015,16,Away,KC,W,13-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,KC,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,PHI,W,10-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,CHI,W,29-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,PHI,W,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,5,Home,PHI,L,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,6,Away,WAS,L,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,PHI,W,10-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,DAL,L,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,NYG,L,23-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,PHI,W,15-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,SEA,L,15-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,PHI,L,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
