,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
9,2018,11,Home,DAL,L,22-19,8,58,7.3,17,0,3,3,27,9,18,0,0,0
10,2018,12,Away,NO,L,17-31,8,6,0.8,4,0,3,4,17,5.7,12,1,0,0
11,2018,13,Home,BAL,L,26-16,6,8,1.3,8,0,1,3,3,3,3,0,1,0
12,2018,14,Away,GB,L,20-34,10,45,4.5,13,0,1,1,-4,-4,-4,0,0,0
13,2018,15,Home,ARI,W,14-40,11,145,13.2,65,1,0,1,0,0,0,0,0,0
14,2018,16,Away,CAR,W,24-10,10,51,5.1,20,0,0,1,0,0,0,0,0,0
15,2018,17,Away,TB,W,34-32,8,45,5.6,23,1,1,1,9,9,9,0,0,0
0,2019,1,Away,TB,W,31-17,6,23,3.8,12,0,2,3,33,16.5,31,0,0,0
1,2019,2,Away,CIN,W,41-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,PIT,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,5,Home,CLE,W,3-31,16,97,6.1,19,1,0,0,0,0,0,0,0,0
4,2019,6,Away,LAR,W,20-7,18,45,2.5,9,1,2,3,16,8,14,0,0,0
5,2019,7,Away,WAS,W,9-0,20,62,3.1,9,0,2,2,-1,-0.5,0,0,0,0
6,2019,8,Home,CAR,W,13-51,11,105,9.5,48,3,2,2,13,6.5,10,1,0,0
7,2019,9,Away,ARI,W,28-25,12,23,1.9,8,0,2,4,13,6.5,9,0,0,0
8,2019,10,Home,SEA,L,27-24,9,40,4.4,22,0,4,4,32,8,16,0,0,0
9,2019,11,Home,ARI,W,26-36,12,14,1.2,4,0,3,4,48,16,37,0,0,0
10,2019,12,Home,GB,W,8-37,11,39,3.5,11,1,2,4,10,5,8,0,0,0
11,2019,13,Away,BAL,L,17-20,5,6,1.2,2,0,1,1,9,9,9,0,0,0
12,2019,14,Away,NO,W,48-46,3,6,2,6,0,0,0,0,0,0,0,0,0
13,2019,15,Home,ATL,L,29-22,4,40,10,37,0,0,1,0,0,0,0,0,0
14,2019,16,Home,LAR,W,31-34,5,33,6.6,12,0,0,0,0,0,0,0,0,0
15,2019,17,Away,SEA,W,26-21,5,11,2.2,5,0,1,2,7,7,7,0,0,0
